Sigla;Nome;Tipo;Setor;Preço;DY;Máx (52s);Mín (52s);DPA
AALL34;AMERICAN AIR DRN;DRN;Construção e Transporte;101,47;;149,37;61,90;
AALR3;ALLIAR ON;ON;Saúde;12,02;;15,70;8,33;
AAPL34;APPLE DRN;DRN;Tecnologia da Informação;79,25;0,4%;80,93;55,73;0,31
ABBV34;ABBVIE DRN;DRN;Consumo não Cíclico;575,00;2,6%;646,40;477,96;14,72
ABCB4;ABC BRASIL PN;PN;Financeiro;17,78;4,3%;18,01;11,17;0,77
ABCP11;FII ABC IMOB;FII;Financeiro e Outros;73,99;5,5%;78,67;66,64;4,10
ABEV3;AMBEV S/A ON;ON;Consumo não Cíclico;17,26;2,8%;19,84;11,69;0,49
ABTT34;ABBOTT DRN;DRN;Saúde;164,30;0,7%;181,40;136,06;1,20
ACNB34;ACCENTURE DRN;DRN;Tecnologia da Informação;1752,49;0,6%;1923,50;1180,02;9,85
AERI3;AERIS ON;ON;Bens Industriais;8,02;;13,74;6,58;
AESB3;AES BRASIL ON;ON;Utilidade Pública;15,44;1,5%;17,43;12,95;0,23
AFCR11;FII AFINVCR;FII;Financeiro e Outros;105,99;11,7%;114,84;92,21;12,35
AFHI11;FII AFHI CRI;FII;Financeiro e Outros;92,50;3,1%;97,99;85,35;2,90
AFLT3;AFLUENTE T ON;ON;Utilidade Pública;8,68;7,4%;11,55;8,36;0,64
AFOF11;FII ALIANZFF;FII;Financeiro e Outros;97,01;4,3%;288,28;54,48;4,14
AGRO3;BRASILAGRO ON;ON;Consumo não Cíclico;30,20;4,7%;36,33;20,04;1,42
AHEB3;SPTURIS ON;ON;Consumo Cíclico;25,25;;31,00;18,50;
AIEC11;FII AUTONOMY;CI;Financeiro e Outros;78,21;8,1%;95,19;73,39;6,30
AIGB34;AIG GROUP DRN;DRN;Financeiro;282,17;1,2%;292,90;153,76;3,45
ALLD3;ALLIED ON;ON;Consumo Cíclico;29,00;;39,60;16,28;
ALMI11;FII TORRE AL;FII;Financeiro e Outros;1015,02;;1402,22;1001,10;
ALPA3;ALPARGATAS ON;ON;Consumo Cíclico;50,21;;53,39;28,90;
ALPA4;ALPARGATAS PN;PN;Consumo Cíclico;59,87;;62,33;32,83;
ALPK3;ESTAPAR ON;ON;Bens Industriais;6,80;;10,49;5,80;
ALSO3;ALIANSCSONAE ON;ON;Financeiro;24,89;0,9%;32,78;21,65;0,23
ALUP11;ALUPAR UNT;UNT;Utilidade Pública;25,32;3,3%;28,47;21,78;0,84
ALUP3;ALUPAR ON;ON;Utilidade Pública;8,40;3,3%;10,11;7,34;0,28
ALUP4;ALUPAR PN;PN;Utilidade Pública;8,52;3,3%;9,59;6,61;0,28
ALZR11;FII ALIANZA;FII;Financeiro e Outros;116,13;5,6%;130,70;109,94;6,46
AMAR3;LOJAS MARISA ON;ON;Consumo Cíclico;6,37;;10,08;4,84;
AMBP3;AMBIPAR ON;ON;Utilidade Pública;64,40;0,2%;71,10;20,57;0,09
AMER3;AMERICANAS ON;ON;Consumo Cíclico;43,06;;67,90;38,45;
AMGN34;AMGEN DRN;DRN;Saúde;41,20;1,7%;53,92;41,00;0,69
AMZO34;AMAZON DRN;DRN;Consumo Cíclico;115,12;;125,88;98,45;
ANIM3;ANIMA ON;ON;Consumo Cíclico;9,96;;14,54;7,76;
APER3;ALPER S.A. ON;ON;Financeiro;44,40;;64,10;25,55;
AQLL11;FII AQUILLA;FII;Financeiro e Outros;385,03;;481,19;384,97;
ARCT11;FII ARCTIUM;FII;Financeiro e Outros;101,81;16,9%;122,26;67,68;17,19
ARML3;ARMAC ON;ON;Bens Industriais;20,33;;26,20;18,80;
ARMT34;ARCELOR DRN;DRN;Materiais Básicos;88,11;0,6%;99,00;34,84;0,56
ARRI11;FII ATRIO;FII;Financeiro e Outros;99,30;11,8%;112,12;65,18;11,72
ARZZ3;AREZZO CO ON;ON;Consumo Cíclico;88,44;1,0%;101,84;51,76;0,86
ASAI3;ASSAI ON;ON;Consumo não Cíclico;17,03;0,4%;18,53;11,93;0,06
ATMP3;ATMASA ON;ON;Bens Industriais;5,75;;14,05;2,31;
ATOM3;ATOMPAR ON;ON;Outros;5,24;5,7%;11,87;2,58;0,30
ATSA11;FII HATRIUM;FII;Financeiro e Outros;101,99;;118,00;98,00;
ATTB34;ATT INC DRN;DRN;Comunicações;47,08;3,8%;60,56;46,40;1,80
ATVI34;ACTIVISION DRN;DRN;Não Classificado;425,75;;519,24;409,23;
AURA33;AURA 360 DRN;DRN;Materiais Básicos;60,15;;70,27;48,43;
AVLL3;ALPHAVILLE ON;ON;Consumo Cíclico;30,20;;32,62;18,93;
AXPB34;AMERICAN EXP DRN;DRN;Financeiro;85,21;0,5%;91,32;51,87;0,45
AZEV3;AZEVEDO ON;ON;Bens Industriais;6,46;;10,17;2,89;
AZEV4;AZEVEDO PN;PN;Bens Industriais;4,97;;8,05;1,54;
AZUL4;AZUL PN;PN;Bens Industriais;37,78;;49,51;20,93;
B3SA3;B3 ON;ON;Financeiro;14,43;7,1%;20,73;13,40;1,03
BABA34;ALIBABAGR DRN;DRN;Não Classificado;32,15;;49,10;29,37;
BAHI11;BAHEMA PRB;PRB;Consumo Cíclico;4,99;;17,00;4,50;
BAHI3;BAHEMA ON;ON;Consumo Cíclico;14,68;;22,06;13,42;
BALM3;BAUMER ON;ON;Saúde;18,20;1,8%;29,80;14,54;0,33
BALM4;BAUMER PN;PN;Saúde;17,49;2,4%;25,56;12,51;0,42
BARI11;FII BARIGUI;FII;Financeiro e Outros;104,99;14,9%;108,50;86,28;15,65
