TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AESB3;13,23;1,75;227,62;2,94;0,51;32,59;24,35;4,13;38,63;73,40;34,74;2,64;9,41;13,90;-0,60;1,35;1,29;0,23;1,54;0,18;0,74;0,05;;;9.839.481,88;4,50;0,06;;5.284.170.324,80
AFLT3;8,75;7,01;27,95;3,21;2,92;70,12;56,15;53,65;26,70;26,12;-0,58;-0,07;15,00;16,13;-3,67;8,22;11,50;10,43;11,06;0,91;0,09;0,19;5,56;8,17;23.682,19;2,72;0,31;-1,65;551.991.125,00
ALUP11;24,60;3,41;5,35;1,13;0,30;67,80;66,47;19,70;1,59;3,27;1,68;1,20;1,05;4,27;-0,36;1,76;21,13;5,59;18,28;0,26;0,59;0,28;32,68;29,19;21.844.197,84;21,75;4,60;0,05;7.226.294.631,18
ALUP3;8,23;3,40;5,37;1,14;0,30;67,80;66,47;19,70;1,59;3,27;1,68;1,20;1,06;4,28;-0,36;1,76;21,13;5,59;18,28;0,26;0,59;0,28;32,68;29,19;146.661,38;7,25;1,53;0,05;7.226.294.631,18
ALUP4;8,23;3,40;5,37;1,14;0,30;67,80;66,47;19,70;1,59;3,27;1,68;1,20;1,06;4,28;-0,36;1,76;21,13;5,59;18,28;0,26;0,59;0,28;32,68;29,19;224.489,38;7,25;1,53;0,05;7.226.294.631,18
CBEE3;23,40;0,30;-238,11;1,07;0,26;11,95;1,16;-0,24;49,06;104,23;55,16;1,20;0,57;-4,17;-0,32;0,75;-0,45;-0,11;0,56;0,24;0,76;0,46;3,81;;12.073,86;21,89;-0,10;2,25;3.899.243.228,40
CEBR3;175,85;20,99;1,53;1,35;1,17;-7,88;-212,61;-184,88;1,33;0,59;-0,74;-0,75;;1,61;-4,80;25,71;88,42;76,37;61,87;0,86;0,04;-0,41;-36,10;56,67;309.795,00;129,89;114,85;0,00;2.521.741.371,30
CEBR5;174,00;21,21;1,52;1,34;1,16;-7,88;-212,61;-184,88;1,32;0,59;-0,74;-0,75;;1,59;-4,75;25,71;88,42;76,37;61,87;0,86;0,04;-0,41;-36,10;56,67;110.246,90;129,89;114,85;0,00;2.521.741.371,30
CEBR6;176,95;22,94;1,54;1,36;1,18;-7,88;-212,61;-184,88;1,34;0,59;-0,74;-0,75;;1,62;-4,83;25,71;88,42;76,37;61,87;0,86;0,04;-0,41;-36,10;56,67;104.011,38;129,89;114,85;0,00;2.521.741.371,30
CEEB3;41,00;11,24;7,03;1,83;0,47;23,51;17,69;11,84;4,71;9,20;3,54;1,37;0,83;-74,11;-0,60;0,97;25,99;6,74;13,20;0,26;0,74;0,57;10,93;29,39;148.765,38;22,43;5,83;0,11;12.912.677.614,04
